type,file_name,title,url,video_id,chapter,content
document,578079276-Animal-Behavior-for-Shelter-Veterinarians-and-Staff-2nd-Edition,,,,"Chapter 8, Figure 8.9). Most dogs from fighting      open (see Chapter 8 for an explanation of how to Part 202/1096","For             used to match dogs to adopters included child example, for fearful dogs, volunteers should not       safety and the safety of other pets in the home attempt to demonstrate that the dog is capable         (Reese 2021). of trust by showing the adopter how much the             There are dogs in every shelter that present dog trusts that volunteer. The obvious and not         with behaviors that may not be ideal for homes 644   25  Animal Placement and Follow-­Up with young children. Having the behavioral              The respondents in the Reese (2021) study on propensity to guard resources, having handling       adoption matching programs in shelters and sensitivities/intolerances, or becoming hyper-­      rescues indicated a number of positive outcomes aroused during play may be problematic or            from their use of a matching program, the most even dangerous around young children.                commonly reported being a lower return rate. Studies have found that having children in the       Some respondents also reported a positive home negatively influences adoption success          reaction from the public and an increased over- due to improper expectations placed on both          all adoption rate. Several elements of matching the animal and the children (Diesel et al. 2008;     programs appeared to have stronger associations Shore 2005; Kidd et al. 1992). Shelters need to      with positive outcomes: conducting matching be mindful of the vulnerability of young chil-       conversations before potential adopters see any dren around dogs with certain behavioral pro-        dogs, showing only dogs that are a good match, pensities and guide parents to appropriate           and limiting choice to those dogs that are individuals for adoption consideration.              deemed the best fit."
document,578079276-Animal-Behavior-for-Shelter-Veterinarians-and-Staff-2nd-Edition,,,,"Chapter 8, Figure 8.9). Most dogs from fighting      open (see Chapter 8 for an explanation of how to Part 203/1096","They did find, however, There are also dogs in every shelter that pre-    that matching programs can be associated with sent with behaviors that may not be ideal for        longer average length of stay. homes with other animals. Behavioral propen-            Once the adopter has chosen an animal that sities such as a high prey drive, resource guard-    they feel is appropriate for them to take home, ing, or offensive/defensive aggression to other      the next step is for shelter staff to provide the dogs can be problematic or even dangerous            adopter with information to ensure the best around cats and other dogs in a home. Research       possible transition for both the animal and the has shown that incompatibility between new           family. As discussed by Troughton (2015), and current animals results in increased risk of     understanding how adults learn is important adoption failure (Shore  2005; Salman                regarding adoption counseling in a shelter. et al. 2000; Kidd et al. 1992). That being said,     Respecting the adopters experience, knowl- while shelters have a duty to provide as much        edge, and skill is critical if we hope to add to information as possible about the dog to the         their body of knowledge pertaining to having a potential adopter, the ultimately responsibility     new pet in their home. Adults will put the time of determining whether a dog is a good match         into learning and will be motivated to acquire for the family will lie with the adopter.            a deeper understanding when the benefits are At times other things such as the experience      clear and they can use what they have learned of the adopter as an animal caregiver and their      right away. Practical, immediately applicable, expectations for their new companion should          and useful information is an adult’s prefer- be discussed during the counseling session.          ence."
document,578079276-Animal-Behavior-for-Shelter-Veterinarians-and-Staff-2nd-Edition,,,,"Chapter 8, Figure 8.9). Most dogs from fighting      open (see Chapter 8 for an explanation of how to Part 204/1096","The adult learner also needs to be Previous research has shown that many car-           engaged in the process, feel motivated to learn, egivers and people who relinquish animals,           and receive both intrinsic (the thrill of devel- lack knowledge regarding animal behavior             oping greater understanding) and extrinsic (New et al. 2010; Salman et al. 1998). As adop-      (positive reinforcement) rewards for having ters’ animal care knowledge increased, so did        learned something new. their expectations for the effort required in ani-      Adoption counselors should try to develop a mal guardianship. Caregiver expectations can         relationship with the adopter that supports affect bonding and satisfaction with an animal,      their learning regarding their current needs and so exploring an individual’s expectations of         those of the specific cat or dog they have selected their adopted animal will be beneficial in iden-     (Troughton 2015). The most important subject tifying and allocating educational resources         matter to add to an adopter’s knowledge base that are specific to their needs during the          concerns the behavior of the animal. Research adoption process (O’Connor et al. 2016).             tells us that behavioral concerns are on the 25.3 ­Increasing  the Likelihood of Successful Adoptions   645 minds of many people considering adopting                       (2005) interviewed 78 adopters returning their from an animal shelter. In interviews of pro-                   newly adopted animal, and in 59% of the cases spective adopters, it was found that the animal’s               the return was due to behavior problems. behavior was the predominant consideration                      Diesel et al. (2008) stated that behavioral issues and pre-­adoption concern for all participants                  are the primary driver of adoption failure after (O’Connor et al. 2017)."
document,578079276-Animal-Behavior-for-Shelter-Veterinarians-and-Staff-2nd-Edition,,,,"Chapter 8, Figure 8.9). Most dogs from fighting      open (see Chapter 8 for an explanation of how to Part 205/1096","Allowing the adopters to                finding that 74.1% of returned animals were ask questions first can set the stage for improved              returned due to behavior problems. They fur- learning. When counselors provide the adopter                   ther noted that post-­adoption returns of dogs with the answers to the questions they feel are                 to the shelter might have been prevented by important, they open the adopter to receiving                   providing the caregiver with more education additional information they may not have                        in advance, including realistic expectations of known to ask about.                                             the effort required in caring for an animal. There is a large body of research to indicate                    Most of the post-­adoption survey studies con- that behavioral challenges are a commonly                       ducted in the last 20 years have reported that described reason stated for relinquishment of                   behavioral issues are the biggest challenge an animal to a shelter (Patronek et  al.  1996;                 adopters face with their newly adopted animal; Miller et  al.  1996; Houpt et  al.  1996; Salman               see Table  25.1 (Gates et  al.  2020; Scott et  al.  1998; New et  al.  2010; Wells and                     et al. 2018; Vitulová et al. 2018; Gates et al. 2018; Hepper 2000). Likewise, problematic behavior                    American Humane Association  2013; Casey has been found to be the leading cause of non-­                 et al. 2009; Lord et al. 2008; Diesel et al. 2008; retention of adopted animals. Neidhart and                      Mondelli et al. 2004; Neidhart and Boyd 2002; Boyd (2002) reported that 64% of animals were                   Wells and Hepper  2000)."
document,578079276-Animal-Behavior-for-Shelter-Veterinarians-and-Staff-2nd-Edition,,,,"Chapter 8, Figure 8.9). Most dogs from fighting      open (see Chapter 8 for an explanation of how to Part 206/1096","Behavioral concerns no longer in the same home one year post-­                      can affect the bond that the adopter forms with adoption due to behavior problems. Mondelli                     their new companion and, when unresolved, et  al. (2004) found that 54% of returned dogs                  can result in the return or rehoming of the ani- were returned for behavioral issues and Casey                   mal. Adoption counseling should therefore et  al. (2009) found that 38% of returned cats                  include information on preventing, managing, were returned due to their behavior. Shore                      or resolving the most commonly reported Table 25.1  Commonly reported post-­adoption behavioral concerns in dogs and cats. Dogs                                                              Cats House damage (destructiveness/chewing)                             Inappropriate elimination (housesoiling) Inappropriate elimination (housetraining issues)                   Scratching furniture Aggression                                                         Fearful behavior/hiding Excessive barking                                                  Aggression to people Hyperactivity (high energy)                                        Aggression to other cats Escapes (running away)                                             Problems associated with dogs Poor manners (disobedient/pulling/jumping) Fearfulness Intolerance to other animals Separation anxiety From Mondelli et al. 2004; Scott et al. 2018; Vitulová et al. 2018; Wells and Hepper 2000; Gates et al. 2018, 2020; American Humane Association 2013; Lord at al. 2008; Diesel et al. 2010; Neidhart and Boyd 2002; Casey et al. 2009. 646   25  Animal Placement and Follow-­Up behaviors of concern for each species. Providing    received by the treatment group anyway."
document,578079276-Animal-Behavior-for-Shelter-Veterinarians-and-Staff-2nd-Edition,,,,"Chapter 8, Figure 8.9). Most dogs from fighting      open (see Chapter 8 for an explanation of how to Part 207/1096","The the adopter with more behavioral education at       strategy that was most likely to be followed by the time of adoption could increase adoption        both groups was the presentation of a food-­ success and prevent returns to the shelter.         filled toy upon departure. Previous research has looked at the useful-         Based on these findings, it seems prudent to ness of providing adoption counseling on cer-       provide behavioral information during the tain behavioral issues. Herron et  al. (2007)       adoption counseling session. However, it is found that significantly more adopters who          important to not overwhelm the adopter with were provided with a five-­minute counseling        too much information. Focusing on only a few session on housetraining at the time of adop-       issues and keeping it short and simple will tion reported success one month post-­adoption      help the adopter retain the information than did adopters who did not receive such          (Troughton 2015). The authors have identified information. Herron et al. (2014) evaluated the     five important species-­specific behavioral effectiveness of providing dog adopters with a      points (three if the adopter has no other pets written handout on reducing the risk of sepa-       in the home) to discuss with adopters during ration anxiety post-­adoption. They reported        their counseling session (Appendices 25.A that 30% of the 178 adopted dogs exhibited          and 25.B). For dogs, these points include infor- some form of separation anxiety related behav-      mation on: iors in the new home; however, the prevalence of these behaviors was lower in the treatment       ●●   Housetraining group (adopters who received the handout)           ●●   Safeguarding against separation anxiety than the control group."
document,578079276-Animal-Behavior-for-Shelter-Veterinarians-and-Staff-2nd-Edition,,,,"Chapter 8, Figure 8.9). Most dogs from fighting      open (see Chapter 8 for an explanation of how to Part 208/1096","The researchers con-        ●●   How to properly introduce the dog to the cluded that the provision of the written advice          resident cat(s) appeared to be effective in reducing separation-­   ●●   How to properly introduce the dog to the related anxious behaviors. Compliance was                resident dog(s) low for most of the recommended strategies          ●●   Importance of physical and mental stimula- with the exception of advice to not interact             tion and training. with the dog before leaving and to provide the dog with a food-­filled enrichment toy when         For cats, these points include information on: alone. They suggested that these two simple         ●●   Litterbox use strategies may help prevent the development         ●●   Providing appropriate scratching posts of separation anxiety-­related behaviors in shel-   ●●   Settle-­in time when first home (i.e., expect ter dogs. The researchers state that it is possi-        some hiding the first few days) ble that the efficacy of the program may be         ●●   How to properly introduce the cat to the enhanced if the advice was presented to the              resident cat(s) adopters verbally at the time of adoption rather    ●●   How to properly introduce the cat to the than in a written handout. However, an earlier           resident dog(s). study that involved providing some adopters with a 5-­min counseling session on separation         The combination of in-­person adoption anxiety prevention concluded that there was         counseling accompanied by written take-­home no difference between the treatment group           tip sheets can improve the learning experience that received the counseling and the control        for the adopter."
document,578079276-Animal-Behavior-for-Shelter-Veterinarians-and-Staff-2nd-Edition,,,,"Chapter 8, Figure 8.9). Most dogs from fighting      open (see Chapter 8 for an explanation of how to Part 209/1096","For this reason, verbally com- group that did not in the occurrence of separa-     municating these three to five most important tion anxiety related behaviors post-­adoption       behavior topics during the adoption coun- (Herron et al. 2014). Interestingly, they found     seling session and then giving the adopter a that both groups of adopters were just as likely    handout that details the same information to perform most of the recommendations              should improve retention of the material. 25.3 ­Increasing  the Likelihood of Successful Adoptions   647 A survey study asked adopters about the use-      return the dog. These odds fell to 5.5 when car- fulness of the different types of information        egivers received management advice regarding that was provided to them at the time of adop-       their dog’s aggressive behavior. It is therefore tion as take-­home tip sheets and/or provided        extremely important to provide specific coun- on the website. Information about normal ani-        seling when an adoptive animal is known to mal behavior, methods to train the animal, and       have aggressive propensities. how to introduce the animal to the household            Adults learn best by playing an active role in were all rated as very useful (Gates et al. 2020).   the learning process, so allowing the adopter to In addition to providing some general behavio-       interact with the animal while discussing the ral information to adopters, imparting infor-        behaviors of concern can be a priceless learn- mation about the personality and behavioral          ing experience (Troughton 2015). For example, characteristics of the individual animal being       if a dog exhibits behavior such as jumping up adopted is also important."
document,578079276-Animal-Behavior-for-Shelter-Veterinarians-and-Staff-2nd-Edition,,,,"Chapter 8, Figure 8.9). Most dogs from fighting      open (see Chapter 8 for an explanation of how to Part 210/1096","Often the shelter         or pulling the leash, teaching the adopter how knows about certain behavioral propensities in       to best modify those behaviors and allowing the animal that could affect the bond and            them to practice the skills will enhance learn- adoption success if the adopters are not             ing. Likewise, for potentially more serious informed and given strategies to effectively         problematic behaviors such as aggressively manage potentially problematic behaviors.            guarding resources such as food, bones, and O’Connor et al. (2017) found that aggressive      toys or on-­leash reactivity toward other dogs, behavior was the most commonly identified            showing the adopter exactly what to do to undesirable behavior mentioned by cat and            address the issues and having them practice dog adopters. Dog adopters felt that having a        will help to ensure they are able to successfully dog that exhibited aggressive behavior to peo-       perform these skills at home. Simply telling ple or other dogs would limit their ability to       them to avoid giving the dog a valuable posses- enjoy and include the companion animal               sion or not to walk their dog near other dogs in  leisure activities and might put a strain        would not be as helpful. on their social life. Adopters discussed the importance of feeling comfortable inviting 25.3.1  New Home Experience visitors to their house and having their dog behave well during interactions with people          Millions of dogs and cats are adopted from ani- or other animals outside of the home. While          mal shelters each year. With each adoption both dog and cat adopters felt that aggressive       comes the hope that the placement will lead to behavior displayed by the animal could nega-         a loving and long-­lasting relationship between tively impact their relationship, getting along      the pet and the adoptive family."
document,578079276-Animal-Behavior-for-Shelter-Veterinarians-and-Staff-2nd-Edition,,,,"Chapter 8, Figure 8.9). Most dogs from fighting      open (see Chapter 8 for an explanation of how to Part 211/1096","The reality, with other people and animals was a greater          however, is that many shelters have no idea priority for dog adopters than cat adopters          how “successful” their adoptions actually are because of plans to include the dog in activi-       because they lack the resources to do any kind ties outside of the home, which rarely occurs        of meaningful follow-­up. for cats.                                               For many shelters, the only gauge they have Past studies have also shown that animal          for adoption success is their return rate. aggression is a common behavioral concern for        Although it is inevitable that some animals caregivers and a commonly reported reason for        will be returned to the shelter for a variety of relinquishment (Salman et  al.  2000; Diesel         reasons, the hope is always that unsuccessful et al. 2010). One of these studies showed that       adoptions are the exception. However, several caregivers who received no behavioral advice         studies have reported return rates ranging regarding their dogs’ aggressive behavior            from 7% to as high as 24% (Marston et al. 2004; toward people were 11 times more likely to           Diesel et al. 2008; Mondelli et al. 2004). 648   25  Animal Placement and Follow-­Up The return rate reflects only a portion of             The first few weeks and months in a new failed adoptions. Neidhart and Boyd’s (2002)           home are critical for bonding to occur between survey found that 20% of all adopters no longer        the human family and the adopted animal. had their pet within one year of adoption but          When adopters experience unexpected health that only 49% of these animals were returned           and/or behavioral concerns shortly after they to the shelter."
